platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status,video_views
meta,meta_ad_684,2025-09-27 22:00:00+00:00,72,3,0.056659,USD,VALIDATED,ACTIVE,0
meta,meta_ad_1348,2026-01-05 22:00:00+00:00,117,9,0.039739,USD,PUBLISHED,DRAFT,0
meta,meta_ad_18,2025-10-21 23:00:00+00:00,285,32,0.042742,USD,RECEIVED,ACTIVE,0
meta,meta_ad_666,2025-12-16 06:00:00+00:00,20,0,0.010167,USD,VALIDATED,ACTIVE,1
meta,meta_ad_1232,2025-11-25 23:00:00+00:00,392,3,0.197971,USD,PUBLISHED,LIMITED,0
meta,meta_ad_1027,2025-11-24 14:00:00+00:00,240,23,0.052172,USD,VALIDATED,ACTIVE,0
meta,meta_ad_1117,2025-09-26 17:00:00+00:00,388,2,0.257742,USD,PUBLISHED,LIMITED,40
meta,meta_ad_387,2025-10-08 05:00:00+00:00,96,7,0.071145,USD,VALIDATED,ACTIVE,0
meta,meta_ad_85,2025-10-03 17:00:00+00:00,88,3,0.104889,USD,VALIDATED,ACTIVE,0
meta,meta_ad_215,2025-09-24 16:00:00+00:00,132,1,0.087457,USD,RECEIVED,ACTIVE,0
meta,meta_ad_735,2025-12-22 12:00:00+00:00,181,11,0.275524,USD,PUBLISHED,PAUSED,19
meta,meta_ad_1457,2025-12-01 04:00:00+00:00,162,5,0.143587,USD,VALIDATED,DRAFT,51
meta,meta_ad_1223,2025-12-15 01:00:00+00:00,141,3,0.077588,USD,RECEIVED,LIMITED,7
meta,meta_ad_985,2025-10-05 23:00:00+00:00,277,4,0.036321,USD,VALIDATED,ACTIVE,76
meta,meta_ad_1206,2025-12-01 06:00:00+00:00,99,0,0.014867,USD,VALIDATED,ACTIVE,13
meta,meta_ad_895,2025-10-08 23:00:00+00:00,88,0,0.083175,USD,VALIDATED,ACTIVE,35
meta,meta_ad_807,2025-11-11 06:00:00+00:00,144,5,0.145067,USD,PUBLISHED,ACTIVE,0
meta,meta_ad_53,2025-11-09 22:00:00+00:00,20,0,0.021159,USD,RECEIVED,ACTIVE,0
meta,meta_ad_257,2026-01-01 16:00:00+00:00,887,18,0.153127,USD,VALIDATED,DRAFT,194
meta,meta_ad_1385,2025-10-22 10:00:00+00:00,78,4,0.03684185685672398,USD,VALIDATED,ACTIVE,0
meta,meta_ad_779,2026-01-11 00:00:00+00:00,205,3,0.104772,USD,PUBLISHED,ACTIVE,0
meta,meta_ad_1485,2025-12-02 21:00:00+00:00,134,6,0.044863,USD,PUBLISHED,ACTIVE,0
meta,meta_ad_481,2025-11-13 20:00:00+00:00,50,0,0.029941,USD,PUBLISHED,PAUSED,5
meta,meta_ad_1391,2025-09-28 13:00:00+00:00,81,2,0.087053,USD,ENRICHED,ACTIVE,0
meta,meta_ad_185,2026-01-10 19:00:00+00:00,249,15,0.071393,USD,VALIDATED,ACTIVE,36
meta,meta_ad_744,2025-12-26 01:00:00+00:00,225,8,0.106461,USD,PUBLISHED,ARCHIVED,0
meta,meta_ad_940,2026-01-01 07:00:00+00:00,354,6,0.38346,USD,ENRICHED,ACTIVE,0
meta,meta_ad_1001,2025-12-20 05:00:00+00:00,41,2,0.023611,USD,VALIDATED,PAUSED,0
meta,meta_ad_660,2025-09-26 21:00:00+00:00,115,16,-0.025267,USD,PUBLISHED,ACTIVE,0
meta,meta_ad_416,2025-12-08 06:00:00+00:00,170,0,0.073613,USD,VALIDATED,ACTIVE,0
meta,meta_ad_979,2025-11-05 02:00:00+00:00,352,2,0.090118,USD,PUBLISHED,DISAPPROVED,0
meta,meta_ad_24,2026-01-11 19:00:00+00:00,59,3,0.028529,USD,ENRICHED,ACTIVE,5
meta,meta_ad_422,2025-11-20 14:00:00+00:00,368,3,0.448926,USD,PUBLISHED,ACTIVE,0
meta,meta_ad_493,2025-12-14 23:00:00+00:00,486,25,0.354448,USD,ENRICHED,ACTIVE,0
meta,meta_ad_1453,2026-01-09 09:00:00+00:00,153,5,0.106192,USD,PUBLISHED,DISAPPROVED,0
meta,meta_ad_362,2025-09-19 18:00:00+00:00,170,1,0.077121,USD,VALIDATED,ACTIVE,19
meta,meta_ad_1016,2025-10-26 14:00:00+00:00,212,6,0.154305,USD,VALIDATED,ACTIVE,0
meta,meta_ad_970,2025-10-16 15:00:00+00:00,148,7,0.071964,USD,VALIDATED,ACTIVE,13
meta,meta_ad_972,2025-12-26 14:00:00+00:00,158,1,0.06483,USD,PUBLISHED,ACTIVE,21
meta,meta_ad_660,2025-12-09 00:00:00+00:00,378,7,0.291071,USD,ENRICHED,ACTIVE,139
meta,meta_ad_1356,2026-01-13 10:00:00+00:00,112,4,0.074108,USD,VALIDATED,PAUSED,0
meta,meta_ad_919,2026-01-07 19:00:00+00:00,76,0,0.042169,USD,PUBLISHED,ACTIVE,0
meta,meta_ad_1115,2025-10-17 11:00:00+00:00,212,9,0.24961,USD,ENRICHED,ACTIVE,0
meta,meta_ad_683,2025-09-24 17:00:00+00:00,257,7,0.892766,USD,RECEIVED,ARCHIVED,0
meta,meta_ad_401,2026-01-12 05:00:00+00:00,110,4,0.032043,USD,VALIDATED,PAUSED,0
meta,meta_ad_1296,2025-12-14 09:00:00+00:00,282,5,0.051149,USD,RECEIVED,PAUSED,0
meta,meta_ad_831,2026-01-11 23:00:00+00:00,40,0,0.043858,USD,RECEIVED,ACTIVE,0
meta,meta_ad_1436,2025-10-08 17:00:00+00:00,316,14,0.392989,USD,ENRICHED,LIMITED,0
meta,meta_ad_1181,2025-12-24 19:00:00+00:00,67,1,0.06803,USD,VALIDATED,ACTIVE,22
meta,meta_ad_576,2025-11-19 09:00:00+00:00,261,3,0.173569,USD,VALIDATED,ACTIVE,0
meta,meta_ad_329,2025-12-04 02:00:00+00:00,209,2,0.36155,USD,PUBLISHED,LIMITED,0
